,name,category,sub-category,provider,overall,enrolled,about,subtitles,skills,url,topic
0,Introduction to Philosophy,Philosophy,Arts and Humanities,The University of Edinburgh,4.6,285712," 111,820 This course will introduce you to some of the main areas of research in contemporary philosophy. Each module a different philosopher will talk you through some of the most important questions and issues in their area of expertise. We090005ll begin by trying to understand what philosophy is 090009 what are its characteristic aims and methods, and how does it differ from other subjects? Then we090005ll spend the rest of the course gaining an introductory overview of several different areas of philosophy. 

Topics you090005ll learn about will include: 

Epistemology, where we090005ll consider what our knowledge of the world and ourselves consists in, and how we come to have it;

Philosophy of science, where we090005ll investigate foundational conceptual issues in scientific research and practice;

Philosophy of Mind, where we090005ll ask questions about what it means for something to have a mind, and how minds should be understood and explained;

Political Philosophy, where we'll investigate whether we have an obligation to obey the law;

Moral Philosophy, where we090005ll attempt to understand the nature of our moral judgements and reactions 090009 whether they aim at some objective moral truth, or are mere personal or cultural preferences, and;

Metaphysics, where we090005ll think through some fundamental conceptual questions about free will and the nature of reality.

The development of this MOOC has been led by the University of Edinburgh's Eidyn research centre.

To accompany 'Introduction to Philosophy', we are pleased to announce a tie-in book from Routledge entitled 'Philosophy for Everyone'. This course companion to the 'Introduction to Philosophy' course was written by the Edinburgh Philosophy team expressly with the needs of MOOC students in mind. 'Philosophy for Everyone' contains clear and user-friendly chapters, chapter summaries, glossary, study questions, suggestions for further reading and guides to online resources. Please click ""Start Here"" and navigate to the ""Optional Reading"" page for more information.","English, Hebrew",unknown,https://www.coursera.org/learn/philosophy,"Language, Arts and Social"
1,Think Again I: How to Understand Arguments,Philosophy,Personal Development,Duke University,4.6,139699," 65,149 How to Understand Arguments

Think Again: How to Reason and Argue
Reasoning is important. This series of four short courses will teach you how to do it well. You will learn simple but vital rules to follow in thinking about any topic at all and common and tempting mistakes to avoid in reasoning. We will discuss how to identify, analyze, and evaluate arguments by other people (including politicians, used car salesmen, and teachers) and how to construct arguments of your own in order to help you decide what to believe or what to do. These skills will be useful in dealing with whatever matters most to you.

Courses at a Glance:
All four courses in this series are offered through sessions which run every four weeks. We suggest sticking to the weekly schedule to the best of your ability. If for whatever reason you fall behind, feel free to re-enroll in the next session.We also suggest that you start each course close to the beginning of a month in order to increase the number of peers in the discussion forums who are working on the same material as you are. While each course can be taken independently, we suggest you take the four courses in order.

Course 1 - Think Again I: How to Understand Arguments
Course 2 - Think Again II: How to Reason Deductively
Course 3 - Think Again III: How to Reason Inductively
Course 4 - Think Again IV: How to Avoid Fallacies

 in the Series:
When is someone giving an argument instead of just yelling? Which parts of what they say contribute to the argument? Why are they arguing instead of fighting? What are arguments made of? What forms do they take? Think Again: How to Understand Arguments will answer these questions a more. 

In this course, you will learn what an argument is. The definition of argument will enable students to identify when speakers are giving arguments and when they are not. Next, we will learn how to break an argument into its essential parts, how to put them in order to reveal their connections, and how to fill in gaps in an argument. By the end of this course, students will be better able to understand and appreciate arguments that they and other people present.

Suggested Readings:
Students who want more detailed explanations or additional exercises or who want to explore these topics in more depth should consult Understanding Arguments: An Introduction to Informal Logic, Ninth Edition, Concise, Chapters 1-5, by Walter Sinnott-Armstrong and Robert Fogelin.

Course Format:
Each week will be divided into multiple video segments that can be viewed separately or in groups. There will be short ungraded quizzes after each segment (to check comprehension) and a longer graded quiz at the end of the course.","Arabic, Ukrainian, Chinese (Simplified), Italian, Portuguese (Brazilian), German, English, Spanish, Romanian ... More", Evaluation Interpretation Language Linguistics,https://www.coursera.org/learn/understanding-arguments,"Language, Arts and Social"
2,De-Mystifying Mindfulness,Philosophy,Personal Development,Universiteit Leiden,4.8,109064," 80,498 Interest in meditation, mindfulness, and contemplation has grown exponentially in recent years.  Rather than being seen as mystical practices from ancient Buddhism or esoteric philosophy, they are increasingly seen as technologies rooted in evidence from psychology and neuroscience.  Mindfulness has become the basis for numerous therapeutic interventions, both as a treatment in healthcare and as a means of enhancing well-being and happiness.  For millions around the world, mindfulness has become a life-style choice, enhancing and enriching everyday experience. Mindfulness is big business.

But, what actually is mindfulness?  Is it really good for you?  Can anyone learn it?  How can you recognize charlatans? Would you want to live in a mindful society, and would it smell like sandalwood?  What does it feel like to be mindful?  Are you mindful already, and how would you know?

Evolving from the popular Honours Academy course at Leiden University, this innovative course combines conventional scholarly inquiry from multiple disciplines (ranging from psychology, through philosophy, to politics) with experiential learning (including specially designed 090004meditation labs,090005 in which you090005ll get chance to practice and analyze mindfulness on yourself).  In the end, the course aims to provide a responsible, comprehensive, and inclusive education about (and in) mindfulness as a contemporary phenomenon.

During the production of this course, we have been supported by Willem Kuyken, Director of the University of Oxford Mindfulness Centre, and Stephen Batchelor, co-founder of Bodhi College.  And we gratefully acknowledge the contributions made by Mark Williams, co-developer of Mindfulness-based Cognitive Therapy (MBCT), and Rebecca Crane, Director of the Centre for Mindfulness Research and Practice at the University of Bangor.",English, Philosophy Gratitude Mindfulness Meditation,https://www.coursera.org/learn/mindfulness,"Language, Arts and Social"
3,Greek and Roman Mythology,Philosophy,Arts and Humanities,University of Pennsylvania,4.8,92830," 59,950 Myths are traditional stories that have endured over a long time. Some of them have to do with events of great importance, such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales, and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome, as a way of exploring the nature of myth and the function it plays for individuals, societies, and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they a set of blinders that all of us wear, though we do not realize it? Or are they just entertaining stories that people like to tell over and over? This course will investigate these questions through a variety of topics, including the creation of the universe, the relationship between gods and mortals, human nature, religion, the family, sex, love, madness, and death.
***********************************************************************************************************
                                                                           
COURSE SCHEDULE
 
090004 Week 1: Introduction 
Welcome to Greek and Roman Mythology! This first week we090005ll introduce the class, paying attention to how the course itself works. We090005ll also begin to think about the topic at hand: myth! How can we begin to define ""myth""? How does myth work? What have ancient and modern theorists, philosophers, and other thinkers had to say about myth? This week we090005ll also begin our foray into Homer090005s world, with an eye to how we can best approach epic poetry.
Readings: No texts this week, but it would be a good idea to get started on next week's reading to get ahead of the game. 
Video Lectures: 1.1-1.7 
Quiz: Complete the quiz by the end of the week.

090004 Week 2: Becoming a Hero 
In week 2, we begin our intensive study of myth through Homer090005s epic poem, the Odyssey. This core text not only gives us an exciting story to appreciate on its own merits but also offers us a kind of laboratory where we can investigate myth using different theoretical approaches. This week we focus on the young Telemachus090005 tour as he begins to come of age; we also accompany his father Odysseus as he journeys homeward after the Trojan War. Along the way, we090005ll examine questions of heroism, relationships between gods and mortals, family dynamics, and the Homeric values of hospitality and resourcefulness.
Readings: Homer, Odyssey, books 1-8 
Video Lectures: 2.1-2.10 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 3: Adventures Out and Back 
This week we090005ll follow the exciting peregrinations of Odysseus, ""man of twists and turns,"" over sea and land. The hero090005s journeys abroad and as he re-enters his homeland are fraught with perils. This portion of the Odyssey features unforgettable monsters and exotic witches; we also follow Odysseus into the Underworld, where he meets shades of comrades and relatives. Here we encounter some of the best-known stories to survive from all of ancient myth.
Readings: Homer, Odyssey, books 9-16 
Video Lectures: 3.1-3.10 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 4: Identity and Signs 
As he makes his way closer and closer to re-taking his place on Ithaca and with his family, a disguised Odysseus must use all his resources to regain his kingdom. We090005ll see many examples of reunion as Odysseus carefully begins to reveal his identity to various members of his household090000his servants, his dog, his son, and finally, his wife Penelope090000while also scheming against those who have usurped his place.
Readings: Homer, Odyssey, books 17-24 
Video Lectures: 4.1-4.8 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 5: Gods and Humans 
We will take a close look at the most authoritative story on the origin of the cosmos from Greek antiquity: Hesiod090005s Theogony. Hesiod was generally considered the only poet who could rival Homer. The Theogony, or ""birth of the gods,"" tells of an older order of gods, before Zeus, who were driven by powerful passions090000and strange appetites! This poem presents the beginning of the world as a time of fierce struggle and violence as the universe begins to take shape, and order, out of chaos.
Readings: Hesiod, Theogony *(the Works and Days is NOT required for the course)* 
Video Lectures: 5.1-5.9 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 6: Ritual and Religion 
This week090005s readings give us a chance to look closely at Greek religion in its various guises. Myth, of course, forms one important aspect of religion, but so does ritual. How ancient myths and rituals interact teaches us a lot about both of these powerful cultural forms. We will read two of the greatest hymns to Olympian deities that tell up-close-and-personal stories about the gods while providing intricate descriptions of the rituals they like us humans to perform.
Readings: Homeric Hymn to Apollo; Homeric Hymn to Demeter (there are two hymns to each that survive, only the LONGER Hymn to Apollo and the LONGER Hymn to Demeter are required for the course) 
Video Lectures: 6.1-6.7
Quiz: Complete the quiz by the end of the week.
 
090004 Week 7: Justice 
What counts as a just action, and what counts as an unjust one? Who gets to decide? These are trickier questions than some will have us think. This unit looks at one of the most famously thorny issues of justice in all of the ancient world. In Aeschylus090005 Oresteia090000the only surviving example of tragedy in its original trilogy form090000we hear the story of Agamemnon090005s return home after the Trojan War. Unlike Odysseus090005 eventual joyful reunion with his wife and children, this hero is betrayed by those he considered closest to him. This family's cycle of revenge, of which this story is but one episode, carries questions of justice and competing loyalties well beyond Agamemnon090005s immediate family, eventually ending up on the Athenian Acropolis itself.
Readings: Aeschylus, Agamemnon; Aeschylus, Eumenides 
Video Lectures: 7.1-7.10 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 8: Unstable Selves
This week we encounter two famous tragedies, both set at Thebes, that center on questions of guilt and identity: Sophocles090005 Oedipus Rex and Eurpides090005 Bacchae. Oedipus is confident that he can escape the unthinkable fate that was foretold by the Delphic oracle; we watch as he eventually realizes the horror of what he has done. With Odysseus, we saw how a great hero can re-build his identity after struggles, while Oedipus shows us how our identities can dissolve before our very eyes. The myth of Oedipus is one of transgressions090000intentional and unintentional090000and about the limits of human knowledge. In Euripides090005 Bacchae, the identity of gods and mortals is under scrutiny. Here, Dionysus, the god of wine and of tragedy, and also madness, appears as a character on stage. Through the dissolution of Pentheus, we see the terrible consequences that can occur when a god090005s divinity is not properly acknowledged.
Readings: Sophocles, Oedipus Rex; Euripides, Bacchae 
Video Lectures: 8.1-8.9
Quiz: Complete the quiz by the end of the week.
 
090004 Week 9: The Roman Hero, Remade 
Moving ahead several centuries, we jump into a different part of the Mediterranean to let the Romans give us their take on myth. Although many poets tried to rewrite Homer for their own times, no one succeeded quite like Vergil. His epic poem, the Aeneid, chronicles a powerful re-building of a culture that both identifies with and defines itself against previously told myths. In contrast to the scarcity of information about Homer, we know a great deal about Vergil090005s life and historical context, allowing us insight into myth-making in action.
Readings: Vergil, Aeneid, books 1-5 
Video Lectures: 9.1-9.10 
Quiz: Complete the quiz by the end of the week.
 
090004 Week 10: Roman Myth and Ovid's Metamorphoses 
Our consideration of Vergil090005s tale closes with his trip to the underworld in book 6. Next, we turn to a more playful Roman poet, Ovid, whose genius is apparent in nearly every kind of register. Profound, witty, and satiric all at once, Ovid090005s powerful re-tellings of many ancient myths became the versions that are most familiar to us today. Finally, through the lens of the Romans and others who ""remythologize,"" we wrap up the course with a retrospective look at myth.
Readings: Vergil, Aeneid, book 6; Ovid, Metamorphoses, books 3, 12, and 13. 
Video Lectures: 10.1-10.9.
Quiz: Complete the quiz by the end of the week.
 
***********************************************************************************************************
READINGS
There are no required texts for the course, however, Professor Struck will make reference to the following texts in the lecture:
090004 Greek Tragedies, Volume 1, David Grene and Richmond Lattimore, trans. (Chicago)
090004 Greek Tragedies, Volume 3, David Grene and Richmond Lattimore , trans. (Chicago)
090004 Hesiod, Theogony and Works and Days, M. L. West, trans. (Oxford)
090004 Homeric Hymns, Sarah Ruden, trans. (Hackett)
090004 Homer, The Odyssey, Robert Fagles, trans. (Penguin) 
090004 Virgil, The Aeneid, Robert Fitzgerald, trans. (Vintage)
090004 Ovid, Metamorphoses, David Raeburn, trans. (Penguin)

These translations are a pleasure to work with, whereas many of the translations freely available on the internet are not. If you do not want to purchase them, they should also be available at many libraries. Again, these texts are not required, but they are helpful.","English, Romanian, Chinese (Simplified)", Art History Greek Mythology History Mythology,https://www.coursera.org/learn/mythology,"Language, Arts and Social"
4,Pensamiento Cient0102fico,Philosophy,Arts and Humanities,Universidad Nacional Aut0106noma de M0108xico,4.7,77695," 49,777 0007El pensamiento cient0102fico es s0106lo para cient0102ficos? Su utilidad va mucho m0103s all0103, ayudando a las personas a tomar mejores decisiones todos los d0102as. El objetivo de este curso es fomentar en pensamiento cient0102fico en los alumnos para ayudarles a tomar mejores decisiones profesionales, personales y sociales. 

Para lograr este objetivo, el curso destila conceptos de ciencias y filosof0102a a un nivel accesible al p0102blico general, ilustr0103ndolos con ejemplos actuales de diversas 0103reas.",Spanish Subtitles: Spanish,unknown,https://www.coursera.org/learn/ciencia,"Language, Arts and Social"
5,"0007C0106mo persuadir? Jugando con palabras, im0103genes y n0102meros",Philosophy,Arts and Humanities,Universitat Aut0105noma de Barcelona,4.4,70226," 38,169 0007Te has planteado alguna vez mediante qu0108 mecanismos algunas personas consiguen convencer a otras personas? Este curso da respuesta a la pregunta y est0103 dirigido a cualquier individuo interesado por los mecanismos de la argumentaci0106n en el siglo XXI. Aprenderemos la base de la comunicaci0106n persuasiva y el pensamiento cr0102tico aplicados a toda clase de formatos: desde las palabras o los argumentos, pasando por las im0103genes y los audiovisuales o, finalmente, por los n0102meros, las estad0102sticas y los gr0103ficos.

0007Para qu0108 sirve este curso?
Las habilidades y disposiciones para analizar y explicar argumentos tienen una importancia transversal: son 0102tiles en todas las disciplinas. Saber apreciar la solidez de los argumentos y tener elementos para su cr0102tica facilita el buen tratamiento de la informaci0106n y, al mismo tiempo, permite exponerla de una manera formal correcta.",Spanish Subtitles: Spanish, Persona (User Experience) Presentation Lexicon Psychology Linguistics,https://www.coursera.org/learn/como-persuadir,"Language, Arts and Social"
6,Moral Foundations of Politics,Philosophy,Social Sciences,Yale University,4.8,64849," 66,743 When do governments deserve our allegiance, and when should they be denied it? 

This course explores the main answers that have been given to this question in the modern West. We start with a survey of the major political theories of the Enlightenment: Utilitarianism, Marxism, and the social contract tradition. In each case, we begin with a look at classical formulations, locating them in historical context, but then shift to the contemporary debates as they relate to politics today.

Next, we turn to the rejection of Enlightenment political thinking, again exploring both classical and contemporary formulations. The last part of the course deals with the nature of, and justifications for, democratic politics, and their relations to Enlightenment and Anti-Enlightenment political thinking.

In addition to exploring theoretical differences among the various authors discussed, considerable attention is devoted to the practical implications of their competing arguments. To this end, we discuss a variety of concrete problems, including debates about economic inequality, affirmative action and the distribution of health care, the limits of state power in the regulation of speech and religion, and difficulties raised by the emerging threat of global environmental decay.","English, Romanian, Spanish",unknown,https://www.coursera.org/learn/moral-politics,"Language, Arts and Social"
7,The Modern and the Postmodern (Part 1),Philosophy,Arts and Humanities,Wesleyan University,4.8,58556," 19,300 This course examines how the idea of ""the modern"" develops at the end of the 18th century in European philosophy and literature, and how being modern (or progressive, or hip) became one of the crucial criteria for understanding and evaluating cultural change. Are we still in modernity, or have we moved beyond the modern to the postmodern?","English, Spanish",unknown,https://www.coursera.org/learn/modern-postmodern-1,"Language, Arts and Social"
8,Ancient Philosophy: Plato & His Predecessors,Philosophy,Arts and Humanities,University of Pennsylvania,4.7,57311," 40,138 What is philosophy?  How does it differ from science, religion, and other modes of human discourse?  This course traces the origins of philosophy in the Western tradition in the thinkers of Ancient Greece.  We begin with the Presocratic natural philosophers who were active in Ionia in the 6th century BCE and are also credited with being the first scientists.  Thales, Anaximander, and Anaximines made bold proposals about the ultimate constituents of reality, while Heraclitus insisted that there is an underlying order to the changing world.  Parmenides of Elea formulated a powerful objection to all these proposals, while later Greek theorists (such as Anaxagoras and the atomist Democritus) attempted to answer that objection.  In fifth-century Athens, Socrates insisted on the importance of the fundamental ethical question090000090008How shall I live?090009090000and his pupil, Plato, and Plato090005s pupil, Aristotle, developed elaborate philosophical systems to explain the nature of reality, knowledge, and human happiness.  After the death of Aristotle, in the Hellenistic period, Epicureans and Stoics developed and transformed that earlier tradition.  We will study the major doctrines of all these thinkers.  Part I will cover Plato and his predecessors.  Part II will cover Aristotle and his successors.","English, Spanish",unknown,https://www.coursera.org/learn/plato,"Language, Arts and Social"
9,"Social Norms, Social Change I",Philosophy,Social Sciences,unknown,4.6,55194," 70,951 This is a course on social norms, the rules that glue societies together. It teaches how to diagnose social norms, and how to distinguish them from other social constructs, like customs or conventions. These distinctions are crucial for effective policy interventions aimed to create new, beneficial norms or eliminate harmful ones. The course teaches how to measure social norms and the expectations that support them, and how to decide whether they cause specific behaviors.  The course is a joint Penn-UNICEF project, and it includes many examples of norms that sustain behaviors like child marriage, gender violence and sanitation practices. 

This is Part 1 of the Social Norms, Social Change series. In these lectures, I introduce all the basic concepts and definitions, such as social expectations and conditional preferences, that help us distinguish between different types of social practices like customs, descriptive norms and social norms. Expectations and preferences can be measured, and these lectures explain how to measure them. Measurement is crucial to understanding the nature of the practice you are facing, as well as whether an intervention was or was not successful, and why. In Part 2, we will put into practice all we have learned in Part 1.

New!  Please use this link for a 30% discount on the recommended book that accompanies this course!
https://global.oup.com/academic/product/9780190622053/?cc=us&lang=en&promocode=AAFLYG6","Chinese (Simplified), Greek, Turkish, English, Romanian", Education Social Psychology Research Methods Qualitative Research,https://www.coursera.org/learn/norms,"Language, Arts and Social"
